1827,1893,0:6
1827,1892,1:6
1827,1891,2:6
1827,1890,3:6
1827,1889,4:6
1827,1888,5:6
1827,1882,6:0
1827,1883,6:1
1827,1884,6:2
1827,1885,6:3
1827,1886,6:4
1827,1887,6:5
1828,1906,0:7
1828,1905,1:7
1828,1904,2:7
1828,1903,3:7
1828,1902,4:7
1828,1901,5:7
1828,1900,6:6
1828,1894,7:0
1828,1895,7:1
1828,1896,7:2
1828,1897,7:3
1828,1898,7:4
1828,1899,7:5
1829,1924,0:9
1829,1923,1:9
1829,1922,2:9
1829,1921,3:9
1829,1920,4:9
1829,1919,5:9
1829,1918,6:9
1829,1917,7:9
1829,1916,8:9
1829,1907,9:0
1829,1908,9:1
1829,1909,9:2
1829,1910,9:3
1829,1911,9:4
1829,1912,9:5
1829,1913,9:6
1829,1914,9:7
1829,1915,9:8
1830,1944,0:10
1830,1943,1:10
1830,1925,10:0
1830,1926,10:1
1830,1927,10:2
1830,1928,10:3
1830,1929,10:4
1830,1930,10:5
1830,1931,10:6
1830,1932,10:7
1830,1933,10:8
1830,1934,10:9
1830,1942,2:10
1830,1941,3:10
1830,1940,4:10
1830,1939,5:10
1830,1938,6:10
1830,1937,7:10
1830,1936,8:10
1830,1935,9:10
1831,1966,0:11
1831,1965,1:11
1831,1956,10:11
1831,1945,11:0
1831,1946,11:1
1831,1955,11:10
1831,1947,11:2
1831,1948,11:3
1831,1949,11:4
1831,1950,11:5
1831,1951,11:6
1831,1952,11:7
1831,1953,11:8
1831,1954,11:9
1831,1964,2:11
1831,1963,3:11
1831,1962,4:11
1831,1961,5:11
1831,1960,6:11
1831,1959,7:11
1831,1958,8:11
1831,1957,9:11
1832,2809,1
1832,2811,2
1832,2810,X
1833,2824,0:0
1833,2828,0:1
1833,2829,0:2
1833,2831,0:3
1833,2834,0:4
1833,2837,0:5
1833,2839,0:6
1833,2812,1:0
1833,2825,1:1
1833,2830,1:2
1833,2832,1:3
1833,2835,1:4
1833,2838,1:5
1833,2813,2:0
1833,2814,2:1
1833,2826,2:2
1833,2833,2:3
1833,2836,2:4
1833,2815,3:0
1833,2816,3:1
1833,2817,3:2
1833,2827,3:3
1833,2818,4:0
1833,2819,4:1
1833,2820,4:2
1833,2821,5:0
1833,2822,5:1
1833,2823,6:0
1833,2840,C
1834,1973,1
1834,1975,2
1834,1974,X
1835,1978,1
1835,1979,2
1836,1980,Over
1836,1981,Under
1837,2806,1
1837,2808,2
1837,2807,X
