398,Total 180s for thirteenth set
399,Total 180s of Player 1 for first set
400,Total 180s of Player 1 for second set
401,Total 180s of Player 1 for third set
402,Total 180s of Player 1 for forth set
403,Total 180s of Player 1 for fifth set
404,Total 180s of Player 1 for sixth set
405,Total 180s of Player 1 for seventh set
406,Total 180s of Player 1 for eighth set
407,Total 180s of Player 1 for ninth set
408,Total 180s of Player 1 for tenth set
409,Total 180s of Player 1 for eleventh set
410,Total 180s of Player 1 for twelfth set
411,Total 180s of Player 1 for thirteenth set
412,Total 180s of Player 2 for first set
413,Total 180s of Player 2 for second set
414,Total 180s of Player 2 for third set
415,Total 180s of Player 2 for forth set
416,Total 180s of Player 2 for fifth set
417,Total 180s of Player 2 for sixth set
418,Total 180s of Player 2 for seventh set
419,Total 180s of Player 2 for eighth set
420,Total 180s of Player 2 for ninth set
421,Total 180s of Player 2 for tenth set
422,Total 180s of Player 2 for eleventh set
423,Total 180s of Player 2 for twelfth set
424,Total 180s of Player 2 for thirteenth set
425,Most 180s for first set
426,Most 180s for second set
427,Most 180s for third set
428,Most 180s for forth set
429,Most 180s for fifth set
430,Most 180s for sixth set
431,Most 180s for seventh set
432,Most 180s for eighth set
433,Most 180s for ninth set
434,Most 180s for tenth set
435,Most 180s for eleventh set
436,Most 180s for twelfth set
437,Most 180s for thirteenth set
438,Most 180s
439,Total 180s
440,Total 180s of Player 1
441,Total 180s of Player 2
442,Total hometeam including overtime (BASKETBALL)
443,Total awayteam including overtime (BASKETBALL)
444,Total hometeam after 5 innings
445,Total awayteam after 5 innings
446,Asian handicap 1st half
447,Asian handicap after 5 innings
448,Matchbet and total including overtime
449,Correct score Bowls
450,Winner Set
451,Home total [total] in [setNr!] set
452,Away total [total] in [setNr!] set
453,Who will win end [endNr] in set [setNr]
454,Exact points in end [endNr] of the [setNr!] set
455,Odd/Even in end [endNr] of the [setNr!] set
456,Total [total] for end [endNr] of the [setNr!] set
457,Draw no bet for the [setNr!] set
458,Player 1 to win a set
459,Player 2 to win a set
460,Double Result (1st set / match)
461,Any set will end 6:0 or 0:6
462,Match Game Handicap
463,Game Handicap for set [setNr]
464,Exact number of points in game [gameNr] of set [setNr]
465,Total [total] for [setNr!] set
466,Asian handicap [handicap] for [setNr!] set
467,"Which team wins race to [points] points, [setNr!] set"
468,"Which team scores [point!] point, [setNr!] set"
469,Handicap [handicap] for [setNr!] set
470,Total AAMS for first period
471,Total AAMS for second period
472,Total AAMS for third period
473,Total AAMS for fourth period
474,Matchbet AAMS for first period
475,Matchbet AAMS for second period
476,Matchbet AAMS for third period
477,Matchbet AAMS for fourth period
478,3way for first period
479,3way for second period
480,3way for third period
481,3way for fourth period
482,Total AAMS regular time
483,Matchbet AAMS regular time
484,Odd/Even
485,Draw No Bet
486,"Which team wins race to X points, first period?"
487,"Which team wins race to X points, second period?"
488,"Which team wins race to X points, third period?"
489,"Which team wins race to X points, fourth period?"
490,Match Winner (incl. Super Over)
491,Total runs
492,Total runs hometeam
493,Total runs awayteam
494,Runs hometeam
495,Runs awayteam
496,Odd/Even number of runs
497,Number of runs in highest scoring over?
498,Which team will have the highest scoring over?
499,Will there be a superover?
500,Which team will lead after [overs] overs
501,Total [total] runs hometeam after [overs] overs
502,Total [total] runs awayteam after [overs] overs
503,Runs hometeam after [overs] overs
504,Runs awayteam after [overs] overs
505,Total [total] runs hometeam for over [over] in [innings!] innings
506,Odd/Even number of runs hometeam for over [over] in [innings!] innings
507,Total [total] runs hometeam in [delivery!] delivery of over [over] in [innings!] innings
508,Next dismissal
509,Next dismissal (caught / not caught)
510,Home No Bet
511,Away No Bet
512,Winning margins
513,Exact number of goals
514,Both Score
515,Clean sheet home team
516,Clean sheet away team
517,Matchbet and both teams to score
518,Matchbet and 1st goal
519,Double chance for [periodNr!] period
520,Asian total [total] for [periodNr!] period
521,Exact number of goals for [periodNr!] period
522,Both teams to score for [periodNr!] period
523,Which Team to Score for [periodNr!] period
524,Clean sheet home team for [periodNr!] period
525,Clean sheet away team for [periodNr!] period
526,Goals home team for [periodNr!] period
527,Goals away team for [periodNr!] period
528,Total home team [total] for [periodNr!] period
529,Total away team [total] for [periodNr!] period
530,Correct score for [periodNr!] period
531,Next goal [nextGoal] for [periodNr!] period
532,Home team to win all periods
533,Away team to win all periods
534,Home team win either period
535,Away team win either period
536,Home team to score in all periods
537,Away team to score in all periods
538,All periods over [total]
539,All periods under [total]
540,Highest scoring period
541,Highest scoring period home team
542,Highest scoring period away team
543,"Handicap, including overtime and penalties"
544,"Asian total, including overtime and penalties"
545,"Exact number of goals, including overtime and penalties"
546,"Which team to score, including overtime and penalties"
547,"Clean sheet home team, including overtime and penalties"
548,"Clean sheet away team, including overtime and penalties"
549,"Goals home team, including overtime and penalties"
550,"Goals away team, including overtime and penalties"
551,"Correct score, including overtime and penalties"
552,"Matchbet and Both teams to Score, including overtime and penalties"
553,"Matchbet and 1st goal, including overtime and penalties"
554,"Next goal, including overtime and penalties"
555,1st period and Matchbet
556,Correct score Ice Hockey
557,"1st period and Matchbet, including overtime and penalties"
558,Handicap [handicap] for [periodNr!] period
559,Total [total] runs awayteam for over [over] in [innings!] innings
560,Odd/Even number of runs awayteam for over [over] in [innings!] innings
561,Total [total] runs awayteam in [delivery!] delivery of over [over] in [innings!] innings
562,Total hometeam including overtime and penalties
563,Total awayteam including overtime and penalties
564,Odd/Even for whole match including overtime and penalties
565,Matchbet and total including overtime and penalties
566,"Winning margins, including overtime and penalties"
567,"Total for whole match, including overtime and penalties"
568,"Asian handicap for whole match, including overtime and penalties"
569,Soccer Penalty shootout - Winning Margin
570,"Soccer Penalty shootout - Total [total] "
571,Soccer Penalty shootout - Exact number of scored penalties
572,Soccer Penalty shootout - Total [total] home
573,Soccer Penalty shootout - Total [total] away
574,Soccer Penalty shootout - Correct score
575,Soccer Penalty shootout - Odd/Even
576,Soccer Penalty shootout - Odd/Even home team
577,Soccer Penalty shootout - Odd/Even away team
578,Soccer Penalty shootout - Matchbet and total
579,Soccer Penalty shootout - Next Penalty scored #[nr]
580,Total [runs] runs hometeam at [dismissal!] dismissal
581,Total [runs] runs awayteam at [dismissal!] dismissal
582,Will there be a tie?
583,Who will win the final?
584,Who will win the 3rd place final?
585,[frame!] frame - Player to pot first ball
586,[frame!] frame - Player to pot last ball
587,[frame!] frame - First colour potted
588,[frame!] frame - Last points scored
589,[frame!] frame - Race to 30
590,[frame!] frame - Player with highest break
591,[frame!] frame - Odd/even number of points
592,[frame!] frame - Will there be a foul
593,[frame!] frame - Any player with a break 50+
594,[frame!] frame - Player 1 with a break 50+
595,[frame!] frame - Player 2 with a break 50+
